7zip 26.00-1
python-fastjsonschema 2.21.2-2
python-filelock 3.26.0-1
python-gobject 3.56.2-1
python-h11 0.16.0-2
python-html5lib 1.1-17
python-httpcore 1.0.9-3
python-httpx 0.28.1-7
python-idna 3.11-2
python-importlib-metadata 9.0.0-1
python-ipykernel 7.2.0-1
python-ipython-pygments-lexers 1.1.1-3
python-jedi 0.19.2-4
python-jinja 1:3.1.6-3
python-json-logger 4.1.0-1
python-json5 0.14.0-1
python-jsonschema 4.26.0-1
python-jsonschema-specifications 2025.9.1-2
python-jupyter-client 8.8.0-2
python-jupyter-core 5.9.1-2
python-jupyter-events 0.12.0-2
python-jupyterlab-server 2.28.0-2
python-legacy-cgi 2.6.4-2
python-markdown-it-py 4.0.0-2
python-markupsafe 3.0.3-1
python-matplotlib-inline 0.2.1-2
python-mdurl 0.1.2-9
python-mistune 1:3.2.0-1
python-nest-asyncio 1.6.0-5
python-packaging 26.1-1
python-pandocfilters 1.5.1-4
python-parso 1:0.8.6-1
python-pexpect 4.9.0-7
python-pillow 12.2.0-1
python-pip 26.0.1-1
python-platformdirs 4.9.6-1
python-prometheus_client 0.25.0-1
python-prompt_toolkit 3.0.52-2
python-psutil 7.2.2-1
python-ptyprocess 0.7.0-9
python-pure-eval 0.2.3-3
python-pycparser 3.00-1
python-pygments 2.20.0-1
python-pytz 2026.1-1
python-pywal 3.3.0-11
python-pyzmq 27.1.0-2
python-referencing 0.37.0-3
python-requests 2.33.1-1
python-rich 15.0.0-1
python-rpds-py 0.30.0-3
python-ruamel-yaml 0.18.11-1
python-ruamel.yaml.clib 0.2.15-2
python-send2trash 1.8.3-3
python-six 1.17.0-3
python-sniffio 1.3.1-5
python-soupsieve 2.8.3-1
python-stack-data 0.6.3-5
python-tinycss2 1.5.1-2
python-tornado 6.5.5-1
python-tqdm 4.67.3-1
python-traitlets 5.14.3-4
python-typing_extensions 4.15.0-3
python-urllib3 2.6.3-1
python-uv 0.11.7-1
python-wcwidth 0.6.0-1
python-webencodings 0.5.1-13
python-websocket-client 1.9.0-3
python-wheel 0.46.3-1
python-yaml 6.0.3-2
python-zipp 3.21.0-4
qrcodegencpp-cmake 1.8.0-4
qt5-base 5.15.18+kde+r109-2
qt5-declarative 5.15.18+kde+r23-1
qt5-graphicaleffects 5.15.18-1
qt5-quickcontrols 5.15.18-1
qt5-quickcontrols2 5.15.18+kde+r5-1
qt5-svg 5.15.18+kde+r5-1
qt5-translations 5.15.18-1
qt5-x11extras 5.15.18-1
qt6-5compat 6.11.0-1
qt6-base 6.11.0-2
qt6-declarative 6.11.0-4
qt6-positioning 6.11.0-1
qt6-shadertools 6.11.0-1
qt6-svg 6.11.0-2
qt6-translations 6.11.0-1
quickshell-git 0.2.0.r114.g9bf752a-1
r 4.5.3-1
rav1e 0.8.1-2
re2 2:2025.11.05-3
readline 8.3.003-1
reflector 2023-5
resvg 0.47.0-2
rhash 1.4.6-1
ripgrep 15.1.0-2
rnnoise 1:0.2-1
rofi 2.0.0-1
rtkit 0.14-1
rubberband 4.0.0-2
run-parts 5.23.2-1
s2n-tls 1.7.2-1
sassc 3.6.2-5
sbc 2.2-1
sdbus-cpp 2.2.1-1
sdl2-compat 2.32.66-1
sdl3 3.4.4-1
seatd 0.9.3-1
sed 4.9-3
serd 0.32.8-1
shaderc 2026.1-2
shadow 4.18.0-1
shared-mime-info 2.4-3
shotwell 2:0.32.15-2
simde 0.8.2-1
sl 5.05-5
slang 2.3.3-4
slurp 1.5.0-2
snappy 1.2.2-3
sndio 1.10.0-1
sof-firmware 2025.12.2-1
sord 0.16.22-1
soundtouch 2.4.0-1
source-highlight 3.1.9-17
spandsp 0.0.6-7
spdlog 1.17.0-2
speedtest-cli 2.1.3-10
speex 1.2.1-2
speexdsp 1.2.1-2
spice-gtk 0.42-5
spice-protocol 0.14.5-1
spirv-tools 1:1.4.341.0-2
sqlite 3.53.0-2
sratom 0.6.22-1
srt 1.5.4-1
startup-notification 0.12-9
sudo 1.9.17.p2-2
suil 0.10.26-1
suitesparse 7.12.2-1
svt-av1 4.1.0-1
swappy 1.8.0-1
systemd 260.1-1
systemd-libs 260.1-1
systemd-sysvcompat 260.1-1
taglib 2.2.1-1
tar 1.35-2
tcl 8.6.16-1
tcpdump 4.99.6-1
tesseract 5.5.2-1
tesseract-data-eng 2:4.1.0-5
tesseract-data-osd 2:4.1.0-5
texinfo 7.3-1
thunar 4.20.8-3
tinysparql 3.11.1-1
tk 8.6.16-1
tomlplusplus 3.4.0-2
totem-pl-parser 3.26.7-1
tpm2-tss 4.1.3-1
transmission-gtk 4.1.1-1
tree-sitter 0.26.8-1
tree-sitter-c 0.24.1-2
tree-sitter-lua 0.5.0-3
